Lead ID,Date,Campaign ID,State,Lead Status,Cost,Conversion Date
L00230,2026-07-13,CMP-109,IL,Rejected,36.25,
L00075,2026-07-04,CMP-112,NC,No Contact,16.02,
L00447,2026-07-27,CMP-101,FL,No Contact,34.59,
L00200,2026-07-12,CMP-103,PA,In Progress,29.67,
L00473,2026-07-28,CMP-112,GA,No Contact,12.24,
L00017,2026-07-01,CMP-110,TX,Rejected,29.65,
L00008,2026-07-01,CMP-104,TX,Rejected,14.01,
L00114,2026-07-06,CMP-111,WA,Rejected,23.8,
L00311,2026-07-19,CMP-103,AZ,Rejected,,
L00324,2026-07-20,CMP-101,WA,No Contact,,
L00530,2026-07-31,CMP-107,PA,Rejected,33.32,
L00464,2026-07-28,CMP-106,CO,No Contact,13.56,
L00217,2026-07-12,CMP-112,FL,Converted,16.83,2026-07-18
L00202,2026-07-12,CMP-106,GA,Rejected,16.92,
L00068,2026-07-04,CMP-108,NC,No Contact,27.9,
L00479,2026-07-29,CMP-101,CO,In Progress,37.21,
L00430,2026-07-26,CMP-104,TX,No Contact,11.1,
L00385,2026-07-23,CMP-111,GA,In Progress,22.91,
L00437,2026-07-26,CMP-110,WA,No Contact,29.3,
L00382,2026-07-23,CMP-110,NY,Rejected,29.5,
L00196,2026-07-12,CMP-102,GA,Rejected,29.8,
L00274,2026-07-17,CMP-104,TX,In Progress,14.91,
L00533,2026-07-31,CMP-111,FL,No Contact,22.01,
L00105,2026-07-06,CMP-107,GA,Rejected,32.11,
L00330,2026-07-20,CMP-103,PA,In Progress,23.44,
L00005,2026-07-01,CMP-103,IL,In Progress,25.61,
L00471,2026-07-28,CMP-111,CA,No Contact,23.75,
L00204,2026-07-12,CMP-106,TX,Rejected,19.34,
L00449,2026-07-27,CMP-103,TX,Rejected,,
L00531,2026-07-31,CMP-108,OH,No Contact,30.48,
L00175,2026-07-10,CMP-111,TX,Converted,21.1,2026-07-14
L00027,2026-07-02,CMP-105,GA,Rejected,9.06,
L00312,2026-07-19,CMP-105,CO,No Contact,11.45,
L00480,2026-07-29,CMP-102,NC,No Contact,28.02,
L00301,2026-07-18,CMP-112,NC,In Progress,18.52,
L00278,2026-07-17,CMP-106,FL,Rejected,17.61,
L00176,2026-07-10,CMP-112,CO,Rejected,15.8,
L00504,2026-07-30,CMP-105,TX,Converted,11.81,2026-08-01
L00220,2026-07-12,CMP-113,OH,In Progress,11.9,
L00021,2026-07-01,CMP-113,IL,No Contact,13.06,
L00438,2026-07-26,CMP-112,IL,Converted,14.34,2026-07-31
L00181,2026-07-11,CMP-104,AZ,Rejected,12.03,
L00485,2026-07-29,CMP-106,FL,In Progress,23.62,
L00118,2026-07-07,CMP-102,GA,No Contact,26.09,
L00180,2026-07-11,CMP-104,TX,No Contact,13.16,
L00356,2026-07-22,CMP-102,GA,Converted,27.86,2026-07-24
L00254,2026-07-15,CMP-107,PA,Converted,41.09,2026-07-18
L00384,2026-07-23,CMP-111,WA,In Progress,24.27,
L00004,2026-07-01,CMP-102,IL,Rejected,32.06,
L00087,2026-07-05,CMP-107,OH,In Progress,29.19,
L00461,2026-07-28,CMP-102,FL,Rejected,21.28,
L00201,2026-07-12,CMP-103,GA,Rejected,25.66,
L00441,2026-07-26,CMP-113,IL,Rejected,15.15,
L00136,2026-07-07,CMP-111,OH,Rejected,25.39,
L00116,2026-07-06,CMP-112,CO,Rejected,13.22,
L00354,2026-07-21,CMP-110,OH,No Contact,27.34,
L00221,2026-07-12,CMP-113,TX,Converted,12.71,2026-07-13
L00208,2026-07-12,CMP-108,WA,No Contact,28.51,
L00192,2026-07-11,CMP-112,IL,Rejected,16.25,
L00022,2026-07-01,CMP-113,GA,Rejected,11.51,
L00015,2026-07-01,CMP-107,CA,No Contact,,
L00316,2026-07-19,CMP-107,FL,No Contact,,
L00370,2026-07-22,CMP-110,GA,In Progress,31.58,
L00219,2026-07-12,CMP-112,OH,Rejected,15.47,
L00240,2026-07-14,CMP-107,NC,Converted,29.45,2026-07-15
L00472,2026-07-28,CMP-111,IL,No Contact,22.51,
L00093,2026-07-05,CMP-113,CO,No Contact,11.96,
L00095,2026-07-06,CMP-102,NC,No Contact,30.21,
L00032,2026-07-02,CMP-108,NY,Rejected,22.99,
L00185,2026-07-11,CMP-106,CA,In Progress,18.26,
L00222,2026-07-13,CMP-101,CO,Rejected,34.0,
L00277,2026-07-17,CMP-106,WA,Converted,19.0,2026-07-22
L00129,2026-07-07,CMP-106,TX,No Contact,17.33,
L00026,2026-07-02,CMP-103,CA,Rejected,23.15,
L00211,2026-07-12,CMP-110,NC,Rejected,31.56,
L00298,2026-07-18,CMP-109,IL,In Progress,35.15,
L00341,2026-07-20,CMP-109,FL,Rejected,33.38,
L00170,2026-07-10,CMP-106,WA,Rejected,24.87,
L00122,2026-07-07,CMP-102,GA,No Contact,22.82,
L00205,2026-07-12,CMP-107,OH,No Contact,33.47,
L00517,2026-07-30,CMP-111,WA,In Progress,23.75,
L00513,2026-07-30,CMP-109,IL,Rejected,42.41,
L00400,2026-07-24,CMP-109,NY,Rejected,40.65,
L00293,2026-07-18,CMP-104,FL,No Contact,9.47,
L00072,2026-07-04,CMP-109,TX,Rejected,39.06,
L00465,2026-07-28,CMP-108,NC,Rejected,28.34,
L00451,2026-07-27,CMP-104,PA,Converted,13.98,2026-07-28
L00379,2026-07-23,CMP-109,NC,No Contact,36.55,
L00252,2026-07-15,CMP-105,AZ,No Contact,11.13,
L00241,2026-07-14,CMP-108,FL,Converted,23.97,2026-07-17
L00102,2026-07-06,CMP-106,IL,Rejected,11.6,
L00055,2026-07-03,CMP-113,FL,Rejected,11.86,
L00369,2026-07-22,CMP-109,FL,Rejected,31.63,
L00056,2026-07-04,CMP-101,FL,Converted,,2026-07-10
L00166,2026-07-10,CMP-103,WA,No Contact,27.09,
L00501,2026-07-30,CMP-103,AZ,Rejected,29.21,
L00042,2026-07-02,CMP-113,CA,No Contact,,
L00086,2026-07-05,CMP-107,TX,Rejected,33.5,
L00145,2026-07-08,CMP-111,AZ,No Contact,19.5,
L00251,2026-07-15,CMP-104,CO,No Contact,12.02,
L00172,2026-07-10,CMP-108,FL,Converted,27.05,2026-07-13
L00174,2026-07-10,CMP-110,IL,Rejected,29.49,
L00292,2026-07-18,CMP-103,OH,No Contact,22.38,
L00408,2026-07-25,CMP-103,IL,No Contact,26.0,
L00534,2026-07-31,CMP-113,FL,No Contact,10.16,
L00282,2026-07-17,CMP-108,CO,Rejected,32.96,
L00399,2026-07-24,CMP-109,CO,Converted,45.25,2026-07-25
L00285,2026-07-17,CMP-111,NC,Rejected,21.5,
L00349,2026-07-21,CMP-104,GA,No Contact,15.67,
L00394,2026-07-24,CMP-106,NC,Rejected,18.84,
L00445,2026-07-27,CMP-101,NC,Rejected,25.92,
L00428,2026-07-26,CMP-103,NY,Rejected,31.22,
L00404,2026-07-24,CMP-111,CA,Rejected,21.14,
L00050,2026-07-03,CMP-105,AZ,In Progress,9.06,
L00125,2026-07-07,CMP-103,CA,No Contact,28.45,
L00051,2026-07-03,CMP-108,AZ,Converted,24.85,2026-07-08
L00012,2026-07-01,CMP-106,NC,Rejected,21.23,
L00435,2026-07-26,CMP-107,FL,Rejected,35.73,
L00366,2026-07-22,CMP-106,TX,In Progress,15.17,
L00291,2026-07-18,CMP-103,AZ,No Contact,30.2,
L00151,2026-07-09,CMP-105,FL,In Progress,11.02,
L00352,2026-07-21,CMP-108,GA,No Contact,26.22,
L00013,2026-07-01,CMP-106,CA,No Contact,14.37,
L00063,2026-07-04,CMP-104,FL,In Progress,13.68,
L00171,2026-07-10,CMP-107,CA,In Progress,32.94,
L00512,2026-07-30,CMP-108,WA,No Contact,23.45,
L00193,2026-07-11,CMP-112,OH,No Contact,15.93,
L00190,2026-07-11,CMP-112,OH,Rejected,14.63,
L00113,2026-07-06,CMP-110,TX,In Progress,28.2,
L00103,2026-07-06,CMP-106,GA,In Progress,18.94,
L00159,2026-07-09,CMP-111,GA,Rejected,21.85,
L00078,2026-07-05,CMP-101,GA,No Contact,33.69,
L00191,2026-07-11,CMP-112,CA,No Contact,20.31,
L00297,2026-07-18,CMP-109,TX,No Contact,32.76,
L00279,2026-07-17,CMP-107,CO,Converted,34.14,2026-07-19
L00029,2026-07-02,CMP-106,OH,Rejected,16.24,
L00231,2026-07-13,CMP-109,PA,In Progress,38.84,
L00107,2026-07-06,CMP-108,CO,No Contact,30.88,
L00411,2026-07-25,CMP-103,NY,Rejected,27.18,
L00003,2026-07-01,CMP-101,AZ,In Progress,32.25,
L00432,2026-07-26,CMP-104,CA,Converted,12.42,2026-08-01
L00401,2026-07-24,CMP-110,TX,In Progress,25.52,
L00199,2026-07-12,CMP-103,TX,No Contact,28.14,
L00083,2026-07-05,CMP-105,NY,In Progress,9.04,
L00263,2026-07-16,CMP-101,CO,In Progress,,
L00053,2026-07-03,CMP-109,OH,Rejected,31.73,
L00135,2026-07-07,CMP-110,OH,In Progress,30.93,
L00131,2026-07-07,CMP-107,IL,In Progress,35.72,
L00296,2026-07-18,CMP-107,FL,Rejected,,
L00099,2026-07-06,CMP-104,WA,Rejected,14.04,
L00433,2026-07-26,CMP-105,WA,Converted,9.68,2026-07-29
L00160,2026-07-09,CMP-112,NC,Rejected,17.91,
L00376,2026-07-23,CMP-106,NC,In Progress,16.8,
L00281,2026-07-17,CMP-108,NC,No Contact,21.11,
L00458,2026-07-27,CMP-113,GA,Rejected,13.97,
L00422,2026-07-25,CMP-112,OH,In Progress,16.19,
L00474,2026-07-28,CMP-112,TX,No Contact,14.3,
L00269,2026-07-16,CMP-110,IL,Rejected,33.09,
L00127,2026-07-07,CMP-105,IL,No Contact,11.62,
L00407,2026-07-25,CMP-102,NY,No Contact,29.19,
L00233,2026-07-13,CMP-111,CO,Rejected,22.95,
L00212,2026-07-12,CMP-110,NY,No Contact,30.43,
L00378,2026-07-23,CMP-109,IL,No Contact,24.1,
L00106,2026-07-06,CMP-108,WA,No Contact,30.54,
L00360,2026-07-22,CMP-104,OH,In Progress,13.76,
L00310,2026-07-19,CMP-103,NY,Rejected,24.35,
L00213,2026-07-12,CMP-110,OH,In Progress,35.21,
L00104,2026-07-06,CMP-107,NY,Rejected,38.32,
L00373,2026-07-22,CMP-113,GA,Rejected,14.05,
L00321,2026-07-19,CMP-110,CO,In Progress,32.98,
L00318,2026-07-19,CMP-108,PA,Rejected,29.95,
L00009,2026-07-01,CMP-104,TX,In Progress,11.17,
L00259,2026-07-15,CMP-112,WA,In Progress,14.73,
L00229,2026-07-13,CMP-109,NC,Rejected,,
L00238,2026-07-14,CMP-105,PA,No Contact,12.33,
L00183,2026-07-11,CMP-105,WA,No Contact,10.18,
L00309,2026-07-19,CMP-103,CO,Rejected,29.62,
L00198,2026-07-12,CMP-103,GA,In Progress,32.81,
L00325,2026-07-20,CMP-102,CA,No Contact,23.88,
L00526,2026-07-31,CMP-104,AZ,Rejected,12.2,
L00470,2026-07-28,CMP-110,TX,No Contact,36.93,
L00397,2026-07-24,CMP-108,CA,In Progress,25.71,
L00051,2026-07-03,CMP-108,AZ,Converted,24.85,2026-07-06
L00508,2026-07-30,CMP-107,GA,Rejected,41.03,
L00165,2026-07-10,CMP-102,CO,Rejected,34.0,
L00023,2026-07-02,CMP-101,GA,No Contact,29.72,
L00235,2026-07-13,CMP-112,AZ,Converted,13.79,2026-07-17
L00169,2026-07-10,CMP-106,CO,No Contact,21.79,
L00302,2026-07-18,CMP-113,NC,Converted,11.75,2026-07-22
L00070,2026-07-04,CMP-108,IL,No Contact,24.16,
L00187,2026-07-11,CMP-110,WA,Rejected,30.67,
L00403,2026-07-24,CMP-110,FL,Rejected,33.45,
L00395,2026-07-24,CMP-107,IL,No Contact,,
L00295,2026-07-18,CMP-106,WA,No Contact,19.68,
L00206,2026-07-12,CMP-107,NC,No Contact,39.39,
L00152,2026-07-09,CMP-105,CO,No Contact,13.36,
L00495,2026-07-29,CMP-113,FL,Rejected,13.57,
L00348,2026-07-21,CMP-103,NY,No Contact,24.99,
L00030,2026-07-02,CMP-106,OH,Rejected,20.3,
L00342,2026-07-20,CMP-110,WA,Rejected,25.8,
L00239,2026-07-14,CMP-105,GA,Rejected,13.55,
L00162,2026-07-10,CMP-102,PA,Rejected,26.99,
L00319,2026-07-19,CMP-108,FL,Rejected,30.24,
L00305,2026-07-18,CMP-113,IL,No Contact,9.57,
L00117,2026-07-07,CMP-101,WA,In Progress,37.13,
L00258,2026-07-15,CMP-109,NY,No Contact,41.76,
L00317,2026-07-19,CMP-108,CO,In Progress,30.92,
L00359,2026-07-22,CMP-104,NC,Rejected,13.27,
L00478,2026-07-28,CMP-113,OH,No Contact,10.7,
L00047,2026-07-03,CMP-104,NY,Rejected,14.88,
L00004,2026-07-01,CMP-102,IL,Rejected,32.06,
L00446,2026-07-27,CMP-101,CA,Converted,36.48,2026-07-29
L00236,2026-07-14,CMP-101,GA,No Contact,33.41,
L00031,2026-07-02,CMP-107,TX,Rejected,32.96,
L00155,2026-07-09,CMP-107,NY,No Contact,42.06,
L00350,2026-07-21,CMP-105,NC,No Contact,10.17,
L00523,2026-07-31,CMP-102,CA,In Progress,28.81,
L00280,2026-07-17,CMP-107,CA,No Contact,36.07,
L00052,2026-07-03,CMP-108,TX,Rejected,25.23,
L00037,2026-07-02,CMP-110,CA,No Contact,31.68,
L00098,2026-07-06,CMP-104,PA,Rejected,11.67,
L00323,2026-07-19,CMP-111,FL,In Progress,27.26,
L00014,2026-07-01,CMP-107,IL,Rejected,33.06,
L00164,2026-07-10,CMP-102,WA,No Contact,29.95,
L00059,2026-07-04,CMP-103,FL,No Contact,27.57,
L00064,2026-07-04,CMP-104,IL,No Contact,11.91,
L00234,2026-07-13,CMP-112,NY,No Contact,15.21,
L00343,2026-07-20,CMP-110,TX,Converted,,2026-07-24
L00482,2026-07-29,CMP-104,CO,Converted,14.6,2026-07-30
L00056,2026-07-04,CMP-101,FL,Converted,,2026-07-09
L00266,2026-07-16,CMP-106,OH,No Contact,18.89,
L00345,2026-07-20,CMP-112,FL,No Contact,17.76,
L00079,2026-07-05,CMP-102,IL,In Progress,27.36,
L00046,2026-07-03,CMP-103,OH,No Contact,35.16,
L00158,2026-07-09,CMP-111,CO,In Progress,23.42,
L00025,2026-07-02,CMP-102,IL,Converted,29.62,2026-07-03
L00365,2026-07-22,CMP-106,OH,Rejected,16.73,
L00071,2026-07-04,CMP-108,PA,Converted,21.07,2026-07-06
L00257,2026-07-15,CMP-109,CO,Converted,39.14,2026-07-21
L00487,2026-07-29,CMP-107,IL,In Progress,33.28,
L00392,2026-07-24,CMP-103,AZ,Converted,32.1,2026-07-25
L00486,2026-07-29,CMP-106,CA,In Progress,19.77,
L00290,2026-07-18,CMP-103,GA,No Contact,,
L00402,2026-07-24,CMP-110,NY,No Contact,29.22,
L00367,2026-07-22,CMP-108,WA,Rejected,26.72,
L00123,2026-07-07,CMP-102,FL,No Contact,33.44,
L00320,2026-07-19,CMP-108,NY,In Progress,24.8,
L00067,2026-07-04,CMP-108,OH,No Contact,23.91,
L00195,2026-07-12,CMP-101,PA,Rejected,28.0,
L00178,2026-07-10,CMP-113,CO,Converted,13.79,2026-07-14
L00207,2026-07-12,CMP-108,PA,Converted,24.35,2026-07-14
L00128,2026-07-07,CMP-105,AZ,No Contact,9.63,
L00398,2026-07-24,CMP-108,GA,Rejected,22.05,
L00337,2026-07-20,CMP-107,OH,In Progress,29.75,
L00353,2026-07-21,CMP-109,CO,In Progress,31.86,
L00387,2026-07-23,CMP-113,NY,In Progress,12.31,
L00001,2026-07-01,CMP-101,PA,Converted,27.0,2026-07-03
L00227,2026-07-13,CMP-107,OH,In Progress,31.24,
L00521,2026-07-31,CMP-101,TX,In Progress,32.81,
L00514,2026-07-30,CMP-110,IL,No Contact,32.15,
L00250,2026-07-15,CMP-104,CO,No Contact,11.76,
L00109,2026-07-06,CMP-108,CO,Rejected,24.32,
L00194,2026-07-11,CMP-113,CO,Rejected,11.59,
L00006,2026-07-01,CMP-103,FL,Rejected,28.34,
L00261,2026-07-15,CMP-113,CO,No Contact,13.78,
L00515,2026-07-30,CMP-110,FL,In Progress,39.03,
L00314,2026-07-19,CMP-106,CO,Converted,20.57,2026-07-21
L00483,2026-07-29,CMP-105,WA,Rejected,8.79,
L00509,2026-07-30,CMP-108,PA,No Contact,26.63,
L00060,2026-07-04,CMP-103,NY,No Contact,28.06,
L00346,2026-07-20,CMP-112,GA,Converted,14.43,2026-07-22
L00048,2026-07-03,CMP-104,IL,Rejected,12.75,
L00303,2026-07-18,CMP-113,GA,No Contact,12.8,
L00383,2026-07-23,CMP-110,CO,No Contact,25.98,
L00121,2026-07-07,CMP-102,CO,Rejected,27.53,
L00287,2026-07-17,CMP-113,FL,Converted,10.0,2026-07-18
L00247,2026-07-14,CMP-113,IL,No Contact,12.47,
L00425,2026-07-25,CMP-113,AZ,No Contact,11.0,
L00167,2026-07-10,CMP-104,CO,No Contact,13.62,
L00313,2026-07-19,CMP-106,AZ,Converted,20.22,2026-07-21
L00427,2026-07-26,CMP-102,NY,In Progress,31.09,
L00210,2026-07-12,CMP-109,FL,In Progress,33.64,
L00405,2026-07-24,CMP-113,TX,No Contact,10.01,
L00223,2026-07-13,CMP-102,FL,No Contact,31.92,
L00300,2026-07-18,CMP-111,IL,No Contact,26.58,
L00214,2026-07-12,CMP-110,FL,Converted,27.01,2026-07-20
L00448,2026-07-27,CMP-102,GA,No Contact,32.77,
L00396,2026-07-24,CMP-108,IL,No Contact,26.79,
L00406,2026-07-25,CMP-101,WA,Rejected,34.94,
L00436,2026-07-26,CMP-109,FL,No Contact,37.19,
L00043,2026-07-03,CMP-102,CO,In Progress,27.32,
L00452,2026-07-27,CMP-106,CA,No Contact,,
L00499,2026-07-30,CMP-102,NC,In Progress,29.43,
L00492,2026-07-29,CMP-112,CO,No Contact,15.93,
L00077,2026-07-04,CMP-113,TX,No Contact,12.16,
L00479,2026-07-29,CMP-101,CO,In Progress,37.21,
L00519,2026-07-30,CMP-112,OH,No Contact,17.58,
L00074,2026-07-04,CMP-112,NY,No Contact,14.42,
L00468,2026-07-28,CMP-110,CO,Rejected,35.16,
L00416,2026-07-25,CMP-105,IL,Rejected,9.94,
L00496,2026-07-30,CMP-101,GA,Rejected,32.96,
L00415,2026-07-25,CMP-105,TX,In Progress,12.08,
L00153,2026-07-09,CMP-106,OH,No Contact,20.7,
L00033,2026-07-02,CMP-108,GA,No Contact,23.44,
L00016,2026-07-01,CMP-109,FL,No Contact,38.72,
L00351,2026-07-21,CMP-107,NY,Converted,,2026-07-25
L00108,2026-07-06,CMP-108,TX,In Progress,27.41,
L00177,2026-07-10,CMP-112,NC,In Progress,17.82,
L00148,2026-07-09,CMP-101,CO,Converted,31.28,2026-07-11
L00255,2026-07-15,CMP-108,CO,Converted,24.13,2026-07-19
L00506,2026-07-30,CMP-106,TX,Rejected,19.08,
L00036,2026-07-02,CMP-110,GA,No Contact,35.12,
L00226,2026-07-13,CMP-107,CA,In Progress,34.59,
L00173,2026-07-10,CMP-109,GA,Rejected,31.42,
L00434,2026-07-26,CMP-106,PA,No Contact,19.19,
L00018,2026-07-01,CMP-111,TX,Rejected,25.29,
L00344,2026-07-20,CMP-112,CA,No Contact,15.59,
L00157,2026-07-09,CMP-108,TX,Rejected,26.19,
L00091,2026-07-05,CMP-109,NY,No Contact,42.87,
L00443,2026-07-26,CMP-113,GA,Rejected,10.5,
L00462,2026-07-28,CMP-104,NC,Converted,12.95,2026-07-31
L00460,2026-07-28,CMP-101,NY,No Contact,36.83,
L00389,2026-07-24,CMP-101,OH,No Contact,33.86,
L00098,2026-07-06,CMP-104,PA,Rejected,11.67,
L00489,2026-07-29,CMP-110,AZ,No Contact,28.12,
L00421,2026-07-25,CMP-110,AZ,No Contact,31.25,
L00494,2026-07-29,CMP-112,OH,Rejected,16.0,
L00209,2026-07-12,CMP-109,IL,No Contact,,
L00065,2026-07-04,CMP-104,OH,Rejected,14.22,
L00011,2026-07-01,CMP-105,IL,Rejected,11.38,
L00503,2026-07-30,CMP-104,WA,In Progress,12.73,
L00112,2026-07-06,CMP-110,WA,No Contact,38.57,
L00529,2026-07-31,CMP-107,NY,No Contact,33.54,
L00510,2026-07-30,CMP-108,OH,Rejected,33.09,
L00450,2026-07-27,CMP-103,NY,No Contact,21.02,
L00094,2026-07-06,CMP-101,AZ,Rejected,30.24,
L00328,2026-07-20,CMP-103,OH,No Contact,26.23,
L00294,2026-07-18,CMP-105,WA,Rejected,13.25,
L00262,2026-07-15,CMP-113,AZ,Rejected,13.16,
L00101,2026-07-06,CMP-105,GA,No Contact,10.56,
L00168,2026-07-10,CMP-106,OH,No Contact,,
L00066,2026-07-04,CMP-106,WA,Rejected,14.6,
L00315,2026-07-19,CMP-107,FL,No Contact,25.15,
L00242,2026-07-14,CMP-109,NY,Rejected,42.04,
L00361,2026-07-22,CMP-104,NY,In Progress,14.2,
L00475,2026-07-28,CMP-112,WA,Rejected,15.65,
L00007,2026-07-01,CMP-104,GA,No Contact,14.76,
L00518,2026-07-30,CMP-111,AZ,No Contact,21.14,
L00150,2026-07-09,CMP-103,CA,No Contact,20.97,
L00420,2026-07-25,CMP-109,NY,Rejected,38.98,
L00463,2026-07-28,CMP-104,FL,Converted,13.13,2026-07-31
L00331,2026-07-20,CMP-104,OH,In Progress,13.44,
L00455,2026-07-27,CMP-108,CO,Converted,29.75,2026-07-29
L00368,2026-07-22,CMP-108,NY,Converted,27.48,2026-07-27
L00146,2026-07-08,CMP-112,GA,Rejected,13.13,
L00363,2026-07-22,CMP-104,CO,In Progress,11.63,
L00149,2026-07-09,CMP-101,IL,Rejected,34.99,
L00457,2026-07-27,CMP-112,WA,No Contact,15.05,
L00493,2026-07-29,CMP-112,NY,Converted,15.78,2026-08-04
L00253,2026-07-15,CMP-107,TX,In Progress,37.73,
L00322,2026-07-19,CMP-111,FL,No Contact,26.19,
L00186,2026-07-11,CMP-107,IL,No Contact,34.02,
L00142,2026-07-08,CMP-101,CO,Converted,23.35,2026-07-11
L00413,2026-07-25,CMP-104,NY,Converted,11.2,2026-07-28
L00133,2026-07-07,CMP-109,AZ,No Contact,32.97,
