lead_id,lead_date,campaign_id,state_code,lead_status,is_converted,acquisition_cost,commission_revenue,is_cost_imputed
L00050,2026-07-03,CMP-105,AZ,In Progress,0,9.06,0,false
L00051,2026-07-03,CMP-108,AZ,Converted,1,24.85,150,false
L00052,2026-07-03,CMP-108,TX,Rejected,0,25.23,0,false
L00053,2026-07-03,CMP-109,OH,Rejected,0,31.73,0,false
L00054,2026-07-03,CMP-113,CA,No Contact,0,12.0,0,true
L00055,2026-07-03,CMP-113,FL,Rejected,0,11.86,0,false
L00056,2026-07-04,CMP-101,FL,Converted,1,32.0,165,true
L00057,2026-07-04,CMP-102,IL,Rejected,0,32.23,0,false
L00058,2026-07-04,CMP-103,WA,No Contact,0,31.77,0,false
L00059,2026-07-04,CMP-103,FL,No Contact,0,27.57,0,false
L00060,2026-07-04,CMP-103,NY,No Contact,0,28.06,0,false
L00061,2026-07-04,CMP-103,PA,No Contact,0,29.8,0,false
L00062,2026-07-04,CMP-103,NY,No Contact,0,25.92,0,false
L00063,2026-07-04,CMP-104,FL,In Progress,0,13.68,0,false
L00064,2026-07-04,CMP-104,IL,No Contact,0,11.91,0,false
L00065,2026-07-04,CMP-104,OH,Rejected,0,14.22,0,false
L00066,2026-07-04,CMP-106,WA,Rejected,0,14.6,0,false
L00067,2026-07-04,CMP-108,OH,No Contact,0,23.91,0,false
L00068,2026-07-04,CMP-108,NC,No Contact,0,27.9,0,false
L00069,2026-07-04,CMP-108,CO,No Contact,0,26.22,0,false
L00070,2026-07-04,CMP-108,IL,No Contact,0,24.16,0,false
L00071,2026-07-04,CMP-108,PA,Converted,1,21.07,150,false
L00072,2026-07-04,CMP-109,TX,Rejected,0,39.06,0,false
L00073,2026-07-04,CMP-109,OH,Rejected,0,34.06,0,false
L00074,2026-07-04,CMP-112,NY,No Contact,0,14.42,0,false
L00075,2026-07-04,CMP-112,NC,No Contact,0,16.02,0,false
L00076,2026-07-04,CMP-113,CO,No Contact,0,9.11,0,false
L00077,2026-07-04,CMP-113,TX,No Contact,0,12.16,0,false
L00078,2026-07-05,CMP-101,GA,No Contact,0,33.69,0,false
L00079,2026-07-05,CMP-102,IL,In Progress,0,27.36,0,false
L00080,2026-07-05,CMP-102,WA,Converted,1,29.48,160,false
L00081,2026-07-05,CMP-104,IL,Rejected,0,13.31,0,false
L00082,2026-07-05,CMP-105,FL,Converted,1,12.09,78,false
L00083,2026-07-05,CMP-105,NY,In Progress,0,9.04,0,false
L00084,2026-07-05,CMP-107,WA,Rejected,0,34.59,0,false
L00085,2026-07-05,CMP-107,GA,No Contact,0,31.48,0,false
L00086,2026-07-05,CMP-107,TX,Rejected,0,33.5,0,false
L00087,2026-07-05,CMP-107,OH,In Progress,0,29.19,0,false
L00088,2026-07-05,CMP-107,CA,Rejected,0,34.45,0,false
L00089,2026-07-05,CMP-108,AZ,Converted,1,24.33,150,false
L00090,2026-07-05,CMP-109,CO,Rejected,0,44.02,0,false
L00091,2026-07-05,CMP-109,NY,No Contact,0,42.87,0,false
L00092,2026-07-05,CMP-110,NC,No Contact,0,38.26,0,false
L00093,2026-07-05,CMP-113,CO,No Contact,0,11.96,0,false
L00094,2026-07-06,CMP-101,AZ,Rejected,0,30.24,0,false
L00095,2026-07-06,CMP-102,NC,No Contact,0,30.21,0,false
L00096,2026-07-06,CMP-103,PA,No Contact,0,23.3,0,false
L00097,2026-07-06,CMP-103,IL,No Contact,0,27.72,0,false
L00098,2026-07-06,CMP-104,PA,Rejected,0,11.67,0,false
L00099,2026-07-06,CMP-104,WA,Rejected,0,14.04,0,false
L00100,2026-07-06,CMP-104,WA,Converted,1,12.55,82,false
L00101,2026-07-06,CMP-105,GA,No Contact,0,10.56,0,false
L00102,2026-07-06,CMP-106,IL,Rejected,0,11.6,0,false
L00103,2026-07-06,CMP-106,GA,In Progress,0,18.94,0,false
L00104,2026-07-06,CMP-107,NY,Rejected,0,38.32,0,false
L00105,2026-07-06,CMP-107,GA,Rejected,0,32.11,0,false
L00106,2026-07-06,CMP-108,WA,No Contact,0,30.54,0,false
L00107,2026-07-06,CMP-108,CO,No Contact,0,30.88,0,false
L00108,2026-07-06,CMP-108,TX,In Progress,0,27.41,0,false
L00109,2026-07-06,CMP-108,CO,Rejected,0,24.32,0,false
L00110,2026-07-06,CMP-109,NC,In Progress,0,39.13,0,false
L00111,2026-07-06,CMP-110,CO,No Contact,0,33.47,0,false
L00112,2026-07-06,CMP-110,WA,No Contact,0,38.57,0,false
L00113,2026-07-06,CMP-110,TX,In Progress,0,28.2,0,false
L00114,2026-07-06,CMP-111,WA,Rejected,0,23.8,0,false
L00115,2026-07-06,CMP-112,NC,Rejected,0,15.69,0,false
L00116,2026-07-06,CMP-112,CO,Rejected,0,13.22,0,false
L00117,2026-07-07,CMP-101,WA,In Progress,0,37.13,0,false
L00118,2026-07-07,CMP-102,GA,No Contact,0,26.09,0,false
L00119,2026-07-07,CMP-102,TX,In Progress,0,24.75,0,false
L00120,2026-07-07,CMP-102,NY,No Contact,0,27.52,0,false
L00121,2026-07-07,CMP-102,CO,Rejected,0,27.53,0,false
L00122,2026-07-07,CMP-102,GA,No Contact,0,22.82,0,false
L00123,2026-07-07,CMP-102,FL,No Contact,0,33.44,0,false
L00124,2026-07-07,CMP-103,OH,Rejected,0,23.65,0,false
L00125,2026-07-07,CMP-103,CA,No Contact,0,28.45,0,false
L00126,2026-07-07,CMP-103,WA,In Progress,0,27.78,0,false
L00127,2026-07-07,CMP-105,IL,No Contact,0,11.62,0,false
L00128,2026-07-07,CMP-105,AZ,No Contact,0,9.63,0,false
L00129,2026-07-07,CMP-106,TX,No Contact,0,17.33,0,false
L00130,2026-07-07,CMP-106,NY,Rejected,0,19.25,0,false
L00131,2026-07-07,CMP-107,IL,In Progress,0,35.72,0,false
L00132,2026-07-07,CMP-109,AZ,In Progress,0,46.43,0,false
L00133,2026-07-07,CMP-109,AZ,No Contact,0,32.97,0,false
L00134,2026-07-07,CMP-109,FL,Converted,1,34.04,195,false
L00135,2026-07-07,CMP-110,OH,In Progress,0,30.93,0,false
L00136,2026-07-07,CMP-111,OH,Rejected,0,25.39,0,false
L00137,2026-07-07,CMP-112,NY,Rejected,0,13.47,0,false
L00138,2026-07-07,CMP-112,NY,Converted,1,20.57,90,false
L00139,2026-07-07,CMP-113,NY,In Progress,0,11.25,0,false
L00140,2026-07-07,CMP-113,IL,No Contact,0,11.31,0,false
L00141,2026-07-07,CMP-113,NY,Rejected,0,11.34,0,false
L00142,2026-07-08,CMP-101,CO,Converted,1,23.35,165,false
L00143,2026-07-08,CMP-106,NC,Rejected,0,15.77,0,false
L00144,2026-07-08,CMP-108,AZ,No Contact,0,28.02,0,false
L00145,2026-07-08,CMP-111,AZ,No Contact,0,19.5,0,false
L00146,2026-07-08,CMP-112,GA,Rejected,0,13.13,0,false
L00147,2026-07-08,CMP-112,FL,Rejected,0,16.54,0,false
L00148,2026-07-09,CMP-101,CO,Converted,1,31.28,165,false
L00149,2026-07-09,CMP-101,IL,Rejected,0,34.99,0,false
L00150,2026-07-09,CMP-103,CA,No Contact,0,20.97,0,false
L00151,2026-07-09,CMP-105,FL,In Progress,0,11.02,0,false
L00152,2026-07-09,CMP-105,CO,No Contact,0,13.36,0,false
L00153,2026-07-09,CMP-106,OH,No Contact,0,20.7,0,false
L00154,2026-07-09,CMP-106,AZ,Rejected,0,18.74,0,false
L00155,2026-07-09,CMP-107,NY,No Contact,0,42.06,0,false
L00156,2026-07-09,CMP-108,PA,Converted,1,26.63,150,false
L00157,2026-07-09,CMP-108,TX,Rejected,0,26.19,0,false
L00158,2026-07-09,CMP-111,CO,In Progress,0,23.42,0,false
L00159,2026-07-09,CMP-111,GA,Rejected,0,21.85,0,false
L00160,2026-07-09,CMP-112,NC,Rejected,0,17.91,0,false
L00161,2026-07-10,CMP-101,IL,No Contact,0,33.32,0,false
L00162,2026-07-10,CMP-102,PA,Rejected,0,26.99,0,false
L00163,2026-07-10,CMP-102,IL,No Contact,0,26.81,0,false
L00164,2026-07-10,CMP-102,WA,No Contact,0,29.95,0,false
L00165,2026-07-10,CMP-102,CO,Rejected,0,34.0,0,false
L00166,2026-07-10,CMP-103,WA,No Contact,0,27.09,0,false
L00167,2026-07-10,CMP-104,CO,No Contact,0,13.62,0,false
L00168,2026-07-10,CMP-106,OH,No Contact,0,18.0,0,true
L00169,2026-07-10,CMP-106,CO,No Contact,0,21.79,0,false
L00170,2026-07-10,CMP-106,WA,Rejected,0,24.87,0,false
L00171,2026-07-10,CMP-107,CA,In Progress,0,32.94,0,false
L00172,2026-07-10,CMP-108,FL,Converted,1,27.05,150,false
L00173,2026-07-10,CMP-109,GA,Rejected,0,31.42,0,false
L00174,2026-07-10,CMP-110,IL,Rejected,0,29.49,0,false
L00175,2026-07-10,CMP-111,TX,Converted,1,21.1,205,false
L00176,2026-07-10,CMP-112,CO,Rejected,0,15.8,0,false
L00177,2026-07-10,CMP-112,NC,In Progress,0,17.82,0,false
L00178,2026-07-10,CMP-113,CO,Converted,1,13.79,75,false
L00179,2026-07-11,CMP-101,OH,No Contact,0,29.86,0,false
L00180,2026-07-11,CMP-104,TX,No Contact,0,13.16,0,false
L00181,2026-07-11,CMP-104,AZ,Rejected,0,12.03,0,false
L00182,2026-07-11,CMP-104,TX,Rejected,0,13.11,0,false
L00183,2026-07-11,CMP-105,WA,No Contact,0,10.18,0,false
L00184,2026-07-11,CMP-106,PA,Rejected,0,13.94,0,false
L00185,2026-07-11,CMP-106,CA,In Progress,0,18.26,0,false
L00186,2026-07-11,CMP-107,IL,No Contact,0,34.02,0,false
L00187,2026-07-11,CMP-110,WA,Rejected,0,30.67,0,false
L00188,2026-07-11,CMP-110,CA,In Progress,0,34.3,0,false
L00189,2026-07-11,CMP-110,OH,No Contact,0,32.08,0,false
L00190,2026-07-11,CMP-112,OH,Rejected,0,14.63,0,false
L00191,2026-07-11,CMP-112,CA,No Contact,0,20.31,0,false
L00192,2026-07-11,CMP-112,IL,Rejected,0,16.25,0,false
L00193,2026-07-11,CMP-112,OH,No Contact,0,15.93,0,false
L00194,2026-07-11,CMP-113,CO,Rejected,0,11.59,0,false
L00195,2026-07-12,CMP-101,PA,Rejected,0,28.0,0,false
L00196,2026-07-12,CMP-102,GA,Rejected,0,29.8,0,false
L00197,2026-07-12,CMP-102,CO,In Progress,0,31.2,0,false
L00198,2026-07-12,CMP-103,GA,In Progress,0,32.81,0,false
L00199,2026-07-12,CMP-103,TX,No Contact,0,28.14,0,false
L00200,2026-07-12,CMP-103,PA,In Progress,0,29.67,0,false
L00201,2026-07-12,CMP-103,GA,Rejected,0,25.66,0,false
L00202,2026-07-12,CMP-106,GA,Rejected,0,16.92,0,false
L00203,2026-07-12,CMP-106,FL,Rejected,0,15.79,0,false
L00204,2026-07-12,CMP-106,TX,Rejected,0,19.34,0,false
L00205,2026-07-12,CMP-107,OH,No Contact,0,33.47,0,false
L00206,2026-07-12,CMP-107,NC,No Contact,0,39.39,0,false
L00207,2026-07-12,CMP-108,PA,Converted,1,24.35,150,false
L00208,2026-07-12,CMP-108,WA,No Contact,0,28.51,0,false
L00209,2026-07-12,CMP-109,IL,No Contact,0,38.0,0,true
L00210,2026-07-12,CMP-109,FL,In Progress,0,33.64,0,false
L00211,2026-07-12,CMP-110,NC,Rejected,0,31.56,0,false
L00212,2026-07-12,CMP-110,NY,No Contact,0,30.43,0,false
L00213,2026-07-12,CMP-110,OH,In Progress,0,35.21,0,false
L00214,2026-07-12,CMP-110,FL,Converted,1,27.01,170,false
L00215,2026-07-12,CMP-111,GA,Rejected,0,23.34,0,false
L00216,2026-07-12,CMP-111,CO,Rejected,0,27.8,0,false
L00217,2026-07-12,CMP-112,FL,Converted,1,16.83,90,false
L00218,2026-07-12,CMP-112,NY,No Contact,0,13.32,0,false
L00219,2026-07-12,CMP-112,OH,Rejected,0,15.47,0,false
L00220,2026-07-12,CMP-113,OH,In Progress,0,11.9,0,false
L00221,2026-07-12,CMP-113,TX,Converted,1,12.71,75,false
L00222,2026-07-13,CMP-101,CO,Rejected,0,34.0,0,false
L00223,2026-07-13,CMP-102,FL,No Contact,0,31.92,0,false
L00224,2026-07-13,CMP-102,PA,No Contact,0,28.16,0,false
L00225,2026-07-13,CMP-104,NY,Converted,1,13.55,82,false
L00226,2026-07-13,CMP-107,CA,In Progress,0,34.59,0,false
L00227,2026-07-13,CMP-107,OH,In Progress,0,31.24,0,false
L00228,2026-07-13,CMP-108,OH,No Contact,0,26.19,0,false
L00229,2026-07-13,CMP-109,NC,Rejected,0,38.0,0,true
L00230,2026-07-13,CMP-109,IL,Rejected,0,36.25,0,false
L00231,2026-07-13,CMP-109,PA,In Progress,0,38.84,0,false
L00232,2026-07-13,CMP-111,CO,In Progress,0,16.94,0,false
L00233,2026-07-13,CMP-111,CO,Rejected,0,22.95,0,false
L00234,2026-07-13,CMP-112,NY,No Contact,0,15.21,0,false
L00235,2026-07-13,CMP-112,AZ,Converted,1,13.79,90,false
L00236,2026-07-14,CMP-101,GA,No Contact,0,33.41,0,false
L00237,2026-07-14,CMP-101,NC,Rejected,0,35.28,0,false
L00238,2026-07-14,CMP-105,PA,No Contact,0,12.33,0,false
L00239,2026-07-14,CMP-105,GA,Rejected,0,13.55,0,false
L00240,2026-07-14,CMP-107,NC,Converted,1,29.45,175,false
L00241,2026-07-14,CMP-108,FL,Converted,1,23.97,150,false
L00242,2026-07-14,CMP-109,NY,Rejected,0,42.04,0,false
L00243,2026-07-14,CMP-111,AZ,Rejected,0,17.52,0,false
L00244,2026-07-14,CMP-111,TX,No Contact,0,27.72,0,false
L00245,2026-07-14,CMP-112,TX,Rejected,0,14.89,0,false
L00246,2026-07-14,CMP-112,OH,Rejected,0,13.84,0,false
L00247,2026-07-14,CMP-113,IL,No Contact,0,12.47,0,false
L00248,2026-07-15,CMP-102,NC,Converted,1,33.44,160,false
L00249,2026-07-15,CMP-103,AZ,No Contact,0,27.22,0,false
L00250,2026-07-15,CMP-104,CO,No Contact,0,11.76,0,false
L00251,2026-07-15,CMP-104,CO,No Contact,0,12.02,0,false
L00252,2026-07-15,CMP-105,AZ,No Contact,0,11.13,0,false
L00253,2026-07-15,CMP-107,TX,In Progress,0,37.73,0,false
L00254,2026-07-15,CMP-107,PA,Converted,1,41.09,175,false
L00255,2026-07-15,CMP-108,CO,Converted,1,24.13,150,false
L00256,2026-07-15,CMP-108,PA,Rejected,0,29.72,0,false
L00257,2026-07-15,CMP-109,CO,Converted,1,39.14,195,false
L00258,2026-07-15,CMP-109,NY,No Contact,0,41.76,0,false
L00259,2026-07-15,CMP-112,WA,In Progress,0,14.73,0,false
L00260,2026-07-15,CMP-112,FL,In Progress,0,12.0,0,false
L00261,2026-07-15,CMP-113,CO,No Contact,0,13.78,0,false
L00262,2026-07-15,CMP-113,AZ,Rejected,0,13.16,0,false
L00263,2026-07-16,CMP-101,CO,In Progress,0,32.0,0,true
L00264,2026-07-16,CMP-102,OH,No Contact,0,23.56,0,false
L00265,2026-07-16,CMP-102,CO,Converted,1,32.37,160,false
L00266,2026-07-16,CMP-106,OH,No Contact,0,18.89,0,false
L00267,2026-07-16,CMP-107,AZ,In Progress,0,34.1,0,false
L00268,2026-07-16,CMP-108,GA,In Progress,0,33.21,0,false
L00269,2026-07-16,CMP-110,IL,Rejected,0,33.09,0,false
L00270,2026-07-16,CMP-113,WA,In Progress,0,11.41,0,false
L00271,2026-07-17,CMP-101,NY,Converted,1,25.34,165,false
L00272,2026-07-17,CMP-103,NY,No Contact,0,22.09,0,false
L00273,2026-07-17,CMP-103,NC,In Progress,0,27.0,0,true
L00274,2026-07-17,CMP-104,TX,In Progress,0,14.91,0,false
L00275,2026-07-17,CMP-104,NY,No Contact,0,13.0,0,true
L00276,2026-07-17,CMP-105,AZ,Converted,1,11.44,78,false
L00277,2026-07-17,CMP-106,WA,Converted,1,19.0,95,false
L00278,2026-07-17,CMP-106,FL,Rejected,0,17.61,0,false
L00279,2026-07-17,CMP-107,CO,Converted,1,34.14,175,false
L00280,2026-07-17,CMP-107,CA,No Contact,0,36.07,0,false
L00281,2026-07-17,CMP-108,NC,No Contact,0,21.11,0,false
L00282,2026-07-17,CMP-108,CO,Rejected,0,32.96,0,false
L00283,2026-07-17,CMP-109,NC,No Contact,0,39.78,0,false
L00284,2026-07-17,CMP-109,NY,No Contact,0,41.76,0,false
L00285,2026-07-17,CMP-111,NC,Rejected,0,21.5,0,false
L00286,2026-07-17,CMP-112,GA,In Progress,0,13.61,0,false
L00287,2026-07-17,CMP-113,FL,Converted,1,10.0,75,false
L00288,2026-07-18,CMP-101,FL,No Contact,0,30.82,0,false
L00289,2026-07-18,CMP-102,WA,No Contact,0,27.62,0,false
L00290,2026-07-18,CMP-103,GA,No Contact,0,27.0,0,true
L00291,2026-07-18,CMP-103,AZ,No Contact,0,30.2,0,false
L00292,2026-07-18,CMP-103,OH,No Contact,0,22.38,0,false
L00293,2026-07-18,CMP-104,FL,No Contact,0,9.47,0,false
L00294,2026-07-18,CMP-105,WA,Rejected,0,13.25,0,false
L00295,2026-07-18,CMP-106,WA,No Contact,0,19.68,0,false
L00296,2026-07-18,CMP-107,FL,Rejected,0,35.0,0,true
L00297,2026-07-18,CMP-109,TX,No Contact,0,32.76,0,false
L00298,2026-07-18,CMP-109,IL,In Progress,0,35.15,0,false
L00299,2026-07-18,CMP-110,WA,No Contact,0,23.16,0,false
L00300,2026-07-18,CMP-111,IL,No Contact,0,26.58,0,false
L00301,2026-07-18,CMP-112,NC,In Progress,0,18.52,0,false
L00302,2026-07-18,CMP-113,NC,Converted,1,11.75,75,false
L00303,2026-07-18,CMP-113,GA,No Contact,0,12.8,0,false
L00304,2026-07-18,CMP-113,OH,In Progress,0,14.89,0,false
L00305,2026-07-18,CMP-113,IL,No Contact,0,9.57,0,false
L00306,2026-07-18,CMP-113,CO,In Progress,0,13.21,0,false
L00307,2026-07-18,CMP-113,NC,Rejected,0,13.96,0,false
L00308,2026-07-19,CMP-101,CO,Rejected,0,25.98,0,false
L00309,2026-07-19,CMP-103,CO,Rejected,0,29.62,0,false
L00310,2026-07-19,CMP-103,NY,Rejected,0,24.35,0,false
L00311,2026-07-19,CMP-103,AZ,Rejected,0,27.0,0,true
L00312,2026-07-19,CMP-105,CO,No Contact,0,11.45,0,false
L00313,2026-07-19,CMP-106,AZ,Converted,1,20.22,95,false
L00314,2026-07-19,CMP-106,CO,Converted,1,20.57,95,false
L00315,2026-07-19,CMP-107,FL,No Contact,0,25.15,0,false
L00316,2026-07-19,CMP-107,FL,No Contact,0,35.0,0,true
L00317,2026-07-19,CMP-108,CO,In Progress,0,30.92,0,false
L00318,2026-07-19,CMP-108,PA,Rejected,0,29.95,0,false
L00319,2026-07-19,CMP-108,FL,Rejected,0,30.24,0,false
L00320,2026-07-19,CMP-108,NY,In Progress,0,24.8,0,false
L00321,2026-07-19,CMP-110,CO,In Progress,0,32.98,0,false
L00322,2026-07-19,CMP-111,FL,No Contact,0,26.19,0,false
L00323,2026-07-19,CMP-111,FL,In Progress,0,27.26,0,false
L00324,2026-07-20,CMP-101,WA,No Contact,0,32.0,0,true
L00325,2026-07-20,CMP-102,CA,No Contact,0,23.88,0,false
L00326,2026-07-20,CMP-102,IL,Rejected,0,31.26,0,false
L00327,2026-07-20,CMP-102,OH,No Contact,0,28.59,0,false
L00328,2026-07-20,CMP-103,OH,No Contact,0,26.23,0,false
L00329,2026-07-20,CMP-103,CA,No Contact,0,21.3,0,false
L00330,2026-07-20,CMP-103,PA,In Progress,0,23.44,0,false
L00331,2026-07-20,CMP-104,OH,In Progress,0,13.44,0,false
L00332,2026-07-20,CMP-104,IL,In Progress,0,13.21,0,false
L00333,2026-07-20,CMP-104,FL,No Contact,0,10.48,0,false
L00334,2026-07-20,CMP-105,NC,No Contact,0,10.29,0,false
L00335,2026-07-20,CMP-105,IL,Rejected,0,11.85,0,false
L00336,2026-07-20,CMP-107,WA,Rejected,0,29.2,0,false
L00337,2026-07-20,CMP-107,OH,In Progress,0,29.75,0,false
L00338,2026-07-20,CMP-108,OH,Rejected,0,22.48,0,false
L00339,2026-07-20,CMP-109,NY,No Contact,0,39.18,0,false
L00340,2026-07-20,CMP-109,FL,In Progress,0,27.62,0,false
L00341,2026-07-20,CMP-109,FL,Rejected,0,33.38,0,false
L00342,2026-07-20,CMP-110,WA,Rejected,0,25.8,0,false
L00343,2026-07-20,CMP-110,TX,Converted,1,31.0,170,true
L00344,2026-07-20,CMP-112,CA,No Contact,0,15.59,0,false
L00345,2026-07-20,CMP-112,FL,No Contact,0,17.76,0,false
L00346,2026-07-20,CMP-112,GA,Converted,1,14.43,90,false
L00347,2026-07-21,CMP-103,FL,Rejected,0,28.02,0,false
L00348,2026-07-21,CMP-103,NY,No Contact,0,24.99,0,false
L00349,2026-07-21,CMP-104,GA,No Contact,0,15.67,0,false
L00350,2026-07-21,CMP-105,NC,No Contact,0,10.17,0,false
L00351,2026-07-21,CMP-107,NY,Converted,1,35.0,175,true
L00352,2026-07-21,CMP-108,GA,No Contact,0,26.22,0,false
L00353,2026-07-21,CMP-109,CO,In Progress,0,31.86,0,false
L00354,2026-07-21,CMP-110,OH,No Contact,0,27.34,0,false
L00355,2026-07-21,CMP-110,OH,No Contact,0,35.13,0,false
L00356,2026-07-22,CMP-102,GA,Converted,1,27.86,160,false
L00357,2026-07-22,CMP-102,AZ,In Progress,0,27.46,0,false
L00358,2026-07-22,CMP-103,NC,No Contact,0,20.78,0,false
L00359,2026-07-22,CMP-104,NC,Rejected,0,13.27,0,false
L00360,2026-07-22,CMP-104,OH,In Progress,0,13.76,0,false
L00361,2026-07-22,CMP-104,NY,In Progress,0,14.2,0,false
L00362,2026-07-22,CMP-104,FL,In Progress,0,13.0,0,true
L00363,2026-07-22,CMP-104,CO,In Progress,0,11.63,0,false
L00364,2026-07-22,CMP-105,WA,No Contact,0,11.76,0,false
L00365,2026-07-22,CMP-106,OH,Rejected,0,16.73,0,false
L00366,2026-07-22,CMP-106,TX,In Progress,0,15.17,0,false
L00367,2026-07-22,CMP-108,WA,Rejected,0,26.72,0,false
L00368,2026-07-22,CMP-108,NY,Converted,1,27.48,150,false
L00369,2026-07-22,CMP-109,FL,Rejected,0,31.63,0,false
L00370,2026-07-22,CMP-110,GA,In Progress,0,31.58,0,false
L00371,2026-07-22,CMP-112,FL,No Contact,0,14.82,0,false
L00372,2026-07-22,CMP-112,NC,No Contact,0,17.4,0,false
L00373,2026-07-22,CMP-113,GA,Rejected,0,14.05,0,false
L00374,2026-07-23,CMP-102,PA,In Progress,0,30.89,0,false
L00375,2026-07-23,CMP-102,NC,Converted,1,26.27,160,false
L00376,2026-07-23,CMP-106,NC,In Progress,0,16.8,0,false
L00377,2026-07-23,CMP-108,WA,In Progress,0,26.1,0,false
L00378,2026-07-23,CMP-109,IL,No Contact,0,24.1,0,false
L00379,2026-07-23,CMP-109,NC,No Contact,0,36.55,0,false
L00380,2026-07-23,CMP-109,PA,Converted,1,42.68,195,false
L00381,2026-07-23,CMP-109,OH,No Contact,0,37.75,0,false
L00382,2026-07-23,CMP-110,NY,Rejected,0,29.5,0,false
L00383,2026-07-23,CMP-110,CO,No Contact,0,25.98,0,false
L00384,2026-07-23,CMP-111,WA,In Progress,0,24.27,0,false
L00385,2026-07-23,CMP-111,GA,In Progress,0,22.91,0,false
L00386,2026-07-23,CMP-112,TX,Converted,1,19.84,90,false
L00387,2026-07-23,CMP-113,NY,In Progress,0,12.31,0,false
L00388,2026-07-24,CMP-101,WA,No Contact,0,30.96,0,false
L00389,2026-07-24,CMP-101,OH,No Contact,0,33.86,0,false
L00390,2026-07-24,CMP-101,NY,Converted,1,30.35,165,false
L00391,2026-07-24,CMP-102,NY,Rejected,0,34.9,0,false
L00392,2026-07-24,CMP-103,AZ,Converted,1,32.1,190,false
L00393,2026-07-24,CMP-104,FL,No Contact,0,12.61,0,false
L00394,2026-07-24,CMP-106,NC,Rejected,0,18.84,0,false
L00395,2026-07-24,CMP-107,IL,No Contact,0,35.0,0,true
L00396,2026-07-24,CMP-108,IL,No Contact,0,26.79,0,false
L00397,2026-07-24,CMP-108,CA,In Progress,0,25.71,0,false
